task_name
Excavation
Erect Structure Steel Level 1
Formwork Level 1 zone 1
Formwork Level 1 zone 2
Formwork Level 1 zone 3
Reinforcement Level 1 zone 1 
Reinforcement Level 1 zone 2 
Reinforcement Level 1 zone 3 
Concrete Placing Level 1 zone 1
Concrete Placing Level 1 zone 2
Concrete Placing Level 1 zone 3
Erect Structure Steel Level 2
Formwork Level 2 zone 1
Formwork Level 2 zone 2
Formwork Level 2 zone 3
Reinforcement Level 2 zone 1 
Reinforcement Level 2 zone 2 
Reinforcement Level 2 zone 3 
Concrete Placing Level 2 zone 1
Concrete Placing Level 2 zone 2
Concrete Placing Level 2 zone 3
Exterior Wall Framing Level 1
Exterior Wall Framing Level 2
Drywall Level 1 
Drywall Level 2
